QUOTE_DATE,EXPIRE_DATE,OPTION_TYPE,DTE,UNDERLYING_LAST,STRIKE,BID,ASK,VOLUME,IV,MID_PRICE,STRIKE_TO_SPOT,MONEYNESS
2023-06-30,2023-07-03,CALL,3.0,4450.23,3600.0,849.5,852.8,1.0,1.23896,851.15,0.8089469533035372,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3700.0,749.5,752.8,1.0,1.0733,751.15,0.8314177020064132,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3800.0,649.5,652.8,1.0,0.91734,651.15,0.8538884507092893,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3850.0,599.6,603.7,1.0,0.85532,601.6500000000001,0.8651238250607273,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3900.0,549.6,553.7,4.0,0.78287,551.6500000000001,0.8763591994121653,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3925.0,525.4,529.5,4.0,0.7679,527.45,0.8819768865878843,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3930.0,520.9,524.6,1.0,0.76767,522.75,0.8831004240230281,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3940.0,509.6,513.7,6.0,0.72629,511.65000000000003,0.8853474988933158,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3950.0,499.6,503.7,1.0,0.71284,501.65,0.8875945737636033,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3970.0,480.0,483.8,10.0,0.69112,481.9,0.8920887235041786,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3980.0,470.5,474.6,13.0,0.69386,472.55,0.8943357983744661,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,3990.0,459.6,463.8,4.0,0.65859,461.70000000000005,0.8965828732447537,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4000.0,449.6,453.8,2.0,0.64536,451.70000000000005,0.8988299481150414,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4005.0,444.6,448.8,2.0,0.63853,446.70000000000005,0.8999534855501852,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4010.0,439.6,443.8,6.0,0.63187,441.70000000000005,0.901077022985329,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4020.0,430.4,433.8,1.0,0.62915,432.1,0.9033240978556165,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4025.0,424.6,428.8,9.0,0.61156,426.70000000000005,0.9044476352907603,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4030.0,420.4,423.8,1.0,0.61582,422.1,0.9055711727259041,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4035.0,414.6,418.8,6.0,0.59833,416.70000000000005,0.906694710161048,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4040.0,409.6,413.8,4.0,0.59197,411.70000000000005,0.9078182475961918,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4050.0,399.7,403.8,1.0,0.57949,401.75,0.9100653224664793,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4065.0,384.7,388.8,26.0,0.56051,386.75,0.9134359347719108,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4070.0,380.1,383.8,2.0,0.55917,381.95000000000005,0.9145594722070546,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4080.0,369.7,373.8,2.0,0.54048,371.75,0.9168065470773421,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4085.0,364.7,368.0,2.0,0.52332,366.35,0.9179300845124859,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4090.0,359.7,363.0,80.0,0.51712,361.35,0.9190536219476297,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4095.0,354.7,358.8,6.0,0.52144,356.75,0.9201771593827736,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4100.0,349.7,353.8,6.0,0.51452,351.75,0.9213006968179174,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4115.0,334.7,338.0,1.0,0.48529,336.35,0.9246713091233487,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4120.0,329.7,333.8,4.0,0.4897,331.75,0.9257948465584925,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4125.0,324.7,328.8,1.0,0.48253,326.75,0.9269183839936364,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4130.0,319.7,323.8,1.0,0.47627,321.75,0.9280419214287802,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4135.0,314.7,318.8,1.0,0.47045,316.75,0.929165458863924,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4140.0,309.7,313.8,1.0,0.46391,311.75,0.9302889962990678,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4150.0,299.7,303.9,2.0,0.45269,301.79999999999995,0.9325360711693553,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4155.0,294.7,298.9,1.0,0.44674,296.79999999999995,0.9336596086044991,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4160.0,289.7,293.9,4.0,0.44042,291.79999999999995,0.934783146039643,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4165.0,284.7,288.9,4.0,0.43384,286.79999999999995,0.9359066834747868,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4170.0,280.2,283.9,10.0,0.43285,282.04999999999995,0.9370302209099306,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4175.0,274.7,278.9,5.0,0.42111,276.79999999999995,0.9381537583450744,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4180.0,269.7,273.9,18.0,0.41523,271.79999999999995,0.9392772957802182,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4185.0,264.7,268.9,5.0,0.40893,266.79999999999995,0.9404008332153619,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4190.0,259.7,263.9,10.0,0.40216,261.79999999999995,0.9415243706505058,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4200.0,249.7,253.9,13.0,0.39003,251.8,0.9437714455207934,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4205.0,244.8,248.9,1.0,0.38486,246.85000000000002,0.9448949829559372,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4210.0,240.2,243.9,25.0,0.38294,242.05,0.946018520391081,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4215.0,234.8,238.9,1.0,0.37254,236.85000000000002,0.9471420578262248,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4220.0,230.3,233.9,1.0,0.37103,232.10000000000002,0.9482655952613686,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4225.0,224.8,228.9,2.0,0.36023,226.85000000000002,0.9493891326965124,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4230.0,219.8,223.9,4.0,0.35403,221.85000000000002,0.9505126701316562,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4235.0,214.8,218.9,1.0,0.34685,216.85000000000002,0.9516362075668,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4240.0,209.8,213.9,1.0,0.34109,211.85000000000002,0.9527597450019438,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4245.0,205.3,208.9,1.0,0.33953,207.10000000000002,0.9538832824370876,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4250.0,200.2,203.9,1.0,0.33264,202.05,0.9550068198722315,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4255.0,194.8,198.9,7.0,0.32173,196.85000000000002,0.9561303573073752,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4260.0,191.0,193.9,10.0,0.32724,192.45,0.957253894742519,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4265.0,186.0,188.9,11.0,0.32079,187.45,0.9583774321776628,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4270.0,181.0,184.0,4.0,0.31445,182.5,0.9595009696128066,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4275.0,174.8,179.0,2.0,0.29808,176.9,0.9606245070479504,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4280.0,169.8,174.0,20.0,0.29133,171.9,0.9617480444830943,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4285.0,164.8,169.0,2.0,0.28501,166.9,0.9628715819182381,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4290.0,159.8,164.0,7.0,0.27811,161.9,0.9639951193533818,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4295.0,154.8,159.0,2.0,0.27202,156.9,0.9651186567885256,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4300.0,149.9,154.0,49.0,0.26613,151.95,0.9662421942236694,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4305.0,145.5,149.0,27.0,0.26482,147.25,0.9673657316588132,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4310.0,139.9,144.0,17.0,0.25386,141.95,0.968489269093957,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4315.0,136.1,139.0,17.0,0.2555,137.55,0.9696128065291009,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4320.0,131.1,134.0,7.0,0.24957,132.55,0.9707363439642447,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4325.0,126.1,129.0,46.0,0.2424,127.55,0.9718598813993884,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4330.0,119.9,124.1,3.0,0.22783,122.0,0.9729834188345322,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4335.0,114.9,119.1,16.0,0.22121,117.0,0.974106956269676,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4340.0,109.9,114.1,11.0,0.21352,112.0,0.9752304937048198,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4345.0,106.3,108.3,31.0,0.21117,107.3,0.9763540311399637,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4350.0,101.3,102.4,489.0,0.19774,101.85,0.9774775685751075,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4355.0,95.0,99.1,31.0,0.19422,97.05,0.9786011060102513,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4360.0,90.0,94.1,216.0,0.18703,92.05,0.979724643445395,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4365.0,85.1,89.2,51.0,0.18032,87.15,0.9808481808805388,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4370.0,80.1,84.2,86.0,0.17323,82.15,0.9819717183156826,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4375.0,75.1,79.2,915.0,0.16583,77.15,0.9830952557508265,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4380.0,71.0,73.3,690.0,0.1583,72.15,0.9842187931859703,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4385.0,65.2,69.1,172.0,0.15045,67.15,0.9853423306211141,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4390.0,60.7,63.8,129.0,0.1447,62.25,0.9864658680562579,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4395.0,55.2,59.2,201.0,0.13541,57.2,0.9875894054914016,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4400.0,51.7,52.5,659.0,0.12627,52.1,0.9887129429265454,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4405.0,46.8,47.7,381.0,0.12031,47.25,0.9898364803616893,ITM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4410.0,41.9,42.9,1313.0,0.11257,42.4,0.9909600177968331,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4415.0,37.1,37.8,338.0,0.10422,37.45,0.9920835552319769,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4420.0,32.4,33.6,1062.0,0.09955,33.0,0.9932070926671207,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4425.0,28.0,28.8,590.0,0.09349,28.4,0.9943306301022645,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4430.0,23.7,24.5,533.0,0.08822,24.1,0.9954541675374082,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4435.0,19.7,20.4,496.0,0.08281,20.049999999999997,0.996577704972552,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4440.0,16.1,16.6,1534.0,0.0792,16.35,0.9977012424076959,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4445.0,12.9,13.4,2053.0,0.0766,13.15,0.9988247798428397,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4450.0,10.1,10.3,4107.0,0.07245,10.2,0.9999483172779835,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4455.0,7.7,7.9,2858.0,0.07126,7.800000000000001,1.0010718547131272,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4460.0,5.7,5.9,2951.0,0.06889,5.800000000000001,1.0021953921482711,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4465.0,4.1,4.4,2755.0,0.06722,4.25,1.0033189295834148,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4470.0,2.95,3.1,1643.0,0.06672,3.0250000000000004,1.0044424670185588,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4475.0,2.0,2.2,2997.0,0.06553,2.1,1.0055660044537025,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4480.0,1.4,1.5,2248.0,0.06526,1.45,1.0066895418888462,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4485.0,0.95,1.05,1211.0,0.0654,1.0,1.0078130793239901,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4490.0,0.65,0.75,1291.0,0.06599,0.7,1.0089366167591338,ATM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4495.0,0.45,0.55,805.0,0.06641,0.5,1.0100601541942777,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4500.0,0.35,0.4,2477.0,0.06764,0.375,1.0111836916294215,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4505.0,0.25,0.35,560.0,0.06987,0.3,1.0123072290645654,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4510.0,0.15,0.25,510.0,0.07,0.2,1.013430766499709,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4515.0,0.15,0.2,320.0,0.07341,0.175,1.0145543039348528,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4520.0,0.1,0.2,298.0,0.07626,0.15000000000000002,1.0156778413699967,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4525.0,0.1,0.15,1754.0,0.07883,0.125,1.0168013788051404,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4530.0,0.05,0.15,88.0,0.07996,0.1,1.0179249162402844,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4535.0,0.05,0.1,48.0,0.08141,0.07500000000000001,1.019048453675428,OTM
2023-06-30,2023-07-03,CALL,3.0,4450.23,4540.0,0.05,0.1,64.0,0.0854,0.07500000000000001,1.020171991110572,OTM
