[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.99746,0.0,0.01724,-2.44009,0.02327,11.68788,,0.0,1 x 1,3239.6,3241.5,1200.0,0.0,0.05,0 x 891,0.0,-0.00013,0.0,0.00039,-0.02537,0.0,8.01301,,3238.1,0.73
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.14672,0.02806,,,0.0,8 x 8,3025.8,3049.8,1400.0,0.0,0.05,0 x 858,0.0,0.0,0.0,0.00052,-0.02509,-0.00012,7.09044,,3038.1,0.685
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.99679,-1e-05,0.02134,-2.43988,0.03115,9.19628,,0.0,1 x 1,2839.6,2841.5,1600.0,0.0,0.05,0 x 891,0.0,-0.00056,0.0,0.00108,-0.02534,0.0,6.28762,,2838.1,0.639
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.18902,0.03554,,,0.0,8 x 8,2625.8,2649.8,1800.0,0.0,0.05,0 x 891,0.0,-2e-05,0.0,0.00104,-0.0246,0.0,5.58253,,2638.1,0.594
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.99554,-4e-05,0.02656,-2.53963,0.03905,7.3164,,0.0,1 x 1,2439.6,2441.7,2000.0,0.0,0.05,0 x 891,0.0,0.0,0.0,0.00119,-0.02483,-3e-05,4.95563,,2438.1,0.549
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.23044,0.04365,,,0.0,8 x 8,2225.8,2249.8,2200.0,0.0,0.05,0 x 891,0.0,0.0,0.0,0.00083,-0.02547,0.0,4.38367,,2238.1,0.504
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.99429,0.0,0.03085,-2.34032,0.04781,5.6791,,0.0,1 x 1,2039.6,2041.3,2400.0,0.0,0.05,0 x 891,0.05,-7e-05,0.0,0.00103,-0.02458,-0.00044,3.86047,16.0,2038.1,0.459
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.27295,0.0521,,,0.0,8 x 8,1825.8,1849.8,2600.0,0.0,0.05,0 x 994,0.05,-0.00038,0.0,0.00121,-0.02561,-0.00021,3.38167,4.0,1838.1,0.414
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.99249,5e-05,0.04113,-2.5899,0.05529,4.41799,,0.0,1 x 1,1640.1,1641.3,2800.0,0.0,0.05,0 x 1438,0.0,-0.0003,0.0,0.00131,-0.02563,0.0,2.93407,,1638.1,0.369
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.31437,0.05996,,3.0,1486.56,8 x 8,1425.8,1449.8,3000.0,0.0,0.05,0 x 1327,0.05,0.0,0.0,0.00181,-0.02509,-0.00043,2.51743,15.0,1438.1,0.324
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.33545,0.06345,,,0.0,15 x 23,1225.9,1249.8,3200.0,0.0,0.05,0 x 1883,0.1,-0.00037,0.0,0.00139,-0.02503,0.0,2.12364,1.0,1238.1,0.279
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.35664,0.06821,,10.0,1053.64,100 x 100,1035.4,1040.8,3400.0,0.0,0.05,0 x 1438,0.15,-0.00019,0.0,0.0017,-0.02479,-8e-05,1.74903,6.0,1038.1,0.234
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.3664,0.06959,,,0.0,100 x 100,935.4,940.8,3500.0,0.0,0.05,0 x 1138,0.15,0.0,0.0,0.00203,-0.02554,0.0,1.5717,2.0,938.1,0.211
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.37762,0.07202,,,0.0,100 x 100,835.4,840.8,3600.0,0.0,0.05,0 x 2531,0.2,-0.00034,0.0,0.00262,-0.02489,0.0,1.39509,156.0,838.1,0.189
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.38234,0.07332,,,0.0,15 x 23,775.9,799.8,3650.0,0.0,0.05,0 x 2430,0.05,-0.00029,5e-05,0.00271,-0.02527,0.0,1.30817,115.0,788.1,0.178
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.38727,0.07415,,,0.0,100 x 100,735.4,740.8,3700.0,0.0,0.05,0 x 3320,0.05,-0.0001,1e-05,0.0027,-0.02491,0.0,1.22287,320.0,738.1,0.166
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.39344,0.07524,,,0.0,100 x 100,685.4,690.8,3750.0,0.0,0.05,0 x 1741,0.55,-0.00068,5e-05,0.00314,-0.02453,0.0,1.13875,5.0,688.1,0.155
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.3985,0.07588,,,0.0,100 x 100,635.4,640.8,3800.0,0.0,0.05,0 x 2800,0.05,-0.00039,2e-05,0.00372,-0.02519,-0.00022,1.05471,222.0,638.1,0.144
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40039,0.07663,,,0.0,100 x 100,610.4,615.8,3825.0,0.0,0.05,0 x 1246,0.0,-0.00052,3e-05,0.00301,-0.02543,-0.00022,1.01391,,613.1,0.138
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40328,0.07677,,,0.0,10 x 8,576.0,599.8,3850.0,0.0,0.05,0 x 2530,0.1,-0.00059,5e-05,0.0033,-0.02519,0.0,0.97217,275.0,588.1,0.133
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40606,0.07697,,,0.0,100 x 100,560.4,565.8,3875.0,0.0,0.05,0 x 1640,0.0,-0.00059,3e-05,0.0038,-0.02583,0.0,0.93196,,563.1,0.127
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.40897,0.07737,,,0.0,100 x 100,535.4,540.8,3900.0,0.0,0.05,0 x 2195,0.55,-0.00059,-3e-05,0.00371,-0.02554,-0.00022,0.88987,82.0,538.1,0.121
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.41115,0.07873,,,0.0,100 x 100,510.4,515.8,3925.0,0.0,0.05,0 x 3739,0.0,-9e-05,-4e-05,0.0037,-0.02501,0.0,0.84923,2215.0,513.1,0.116
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.41444,0.0792,,1.0,488.05,100 x 100,485.4,490.8,3950.0,0.0,0.05,0 x 2215,0.05,-0.00095,3e-05,0.00359,-0.02541,-0.00013,0.80792,1283.0,488.1,0.11
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.41649,0.07976,,,0.0,100 x 100,460.4,465.8,3975.0,0.0,0.05,0 x 2092,0.05,-0.00082,5e-05,0.00391,-0.02541,-0.0002,0.76825,5041.0,463.1,0.104
