quote_unixtime,quote_readtime,quote_date,quote_time_hours,underlying_last,expire_date,expire_unixtime,dte,option_type,strike,bid,ask,last,iv,volume,delta,gamma,vega,theta,rho,strike_distance,strike_distance_pct
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3775,0.05,0.1,0.05,0.83425,210.0,-0.00139,2e-05,0.01126,-0.0748,-0.0003,721.4,0.16
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3800,0.05,0.1,0.05,0.8045,279.0,-0.00066,3e-05,0.01121,-0.07498,-0.00027,696.4,0.155
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3825,0.05,0.1,0.05,0.77641,411.0,-0.00118,2e-05,0.01133,-0.07474,0.0,671.4,0.149
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3850,0.05,0.1,0.05,0.74683,188.0,-0.00138,-2e-05,0.01219,-0.07453,0.0,646.4,0.144
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3875,0.05,0.1,0.05,0.71892,308.0,-0.00146,3e-05,0.01245,-0.07545,0.0,621.4,0.138
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3880,0.05,0.1,0.2,0.71305,5.0,-0.00128,-2e-05,0.01219,-0.07537,-0.00071,616.4,0.137
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3890,0.05,0.1,0.2,0.70158,5.0,-0.00075,0.0,0.0129,-0.07484,0.0,606.4,0.135
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3900,0.05,0.1,0.28,0.68994,273.0,-0.00154,0.0,0.01284,-0.07501,0.0,596.4,0.133
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3910,0.05,0.1,0.15,0.67877,1083.0,-0.00087,2e-05,0.01331,-0.07484,-0.00038,586.4,0.13
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3920,0.05,0.1,0.05,0.66761,10.0,-0.00146,6e-05,0.01282,-0.07554,0.0,576.4,0.128
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3925,0.05,0.1,0.15,0.66109,20.0,-0.00101,-1e-05,0.01284,-0.07475,-1e-05,571.4,0.127
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3930,0.05,0.1,0.4,0.65525,21.0,-0.00124,-2e-05,0.01355,-0.07474,-0.00055,566.4,0.126
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3940,0.05,0.1,0.15,0.64391,49.0,-0.00152,1e-05,0.01395,-0.07513,0.0,556.4,0.124
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3950,0.05,0.1,0.15,0.63329,12.0,-0.0011,-1e-05,0.01339,-0.07462,-0.00016,546.4,0.122
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3955,0.05,0.15,0.15,0.64329,4.0,-0.00188,5e-05,0.01673,-0.09985,-0.00027,541.4,0.12
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3960,0.05,0.15,0.15,0.63775,23.0,-0.00148,0.0,0.01773,-0.09951,-0.00029,536.4,0.119
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3965,0.05,0.15,0.15,0.63159,71.0,-0.00157,5e-05,0.0175,-0.09991,-0.00085,531.4,0.118
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3970,0.05,0.15,0.1,0.62622,2.0,-0.00129,-1e-05,0.01738,-0.09946,0.0,526.4,0.117
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3975,0.05,0.15,0.1,0.62048,110.0,-0.00177,6e-05,0.01748,-0.10043,0.0,521.4,0.116
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3980,0.05,0.15,0.15,0.61471,11.0,-0.00214,1e-05,0.01769,-0.09998,-0.00047,516.4,0.115
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3985,0.05,0.15,0.15,0.60916,89.0,-0.00161,7e-05,0.01842,-0.09985,0.0,511.4,0.114
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3990,0.05,0.15,0.15,0.60311,49.0,-0.00187,8e-05,0.01836,-0.10039,-0.0006,506.4,0.113
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,3995,0.05,0.15,0.2,0.59755,44.0,-0.00148,4e-05,0.01793,-0.09978,-0.00086,501.4,0.112
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4000,0.1,0.15,0.15,0.60441,172.0,-0.00187,7e-05,0.02222,-0.12475,-0.00046,496.4,0.11
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4005,0.1,0.15,0.2,0.59794,21.0,-0.00209,9e-05,0.02257,-0.12445,-0.00046,491.4,0.109
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4010,0.1,0.15,0.2,0.59263,1.0,-0.00255,3e-05,0.02183,-0.12479,-0.00097,486.4,0.108
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4015,0.1,0.15,0.5,0.58678,180.0,-0.00254,3e-05,0.02287,-0.12449,-0.00096,481.4,0.107
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4020,0.1,0.15,0.5,0.5811,27.0,-0.00205,6e-05,0.02289,-0.12521,-0.00024,476.4,0.106
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4025,0.1,0.15,0.2,0.57518,20.0,-0.0022,6e-05,0.0228,-0.12462,-0.00032,471.4,0.105
1699995600,2023-11-14 16:00,2023-11-14,16,4496.43,2023-11-15,1700082000,1.0,put,4030,0.1,0.15,0.2,0.56926,50.0,-0.00224,7e-05,0.02345,-0.12452,-0.00049,466.4,0.104
