[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.98123,0.00011,0.51259,-0.77629,2.33913,0.42518,,0.0,100 x 100,897.4,903.3,3550.0,1.1,1.25,1159 x 779,1.65,-0.00818,1e-05,0.25745,-0.17801,-0.02499,0.36811,24.0,888.1,0.2
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.99377,2e-05,0.16607,-0.46584,2.41334,0.32047,,0.0,15 x 115,843.4,852.2,3600.0,1.25,1.4,951 x 842,1.0,-0.00973,1e-05,0.29308,-0.1943,-0.02939,0.35347,94.0,838.1,0.189
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.97725,8e-05,0.60037,-0.81778,2.39534,0.38637,,0.0,5 x 5,800.1,802.1,3650.0,1.45,1.55,591 x 30,1.26,-0.01124,5e-05,0.33464,-0.21243,-0.03363,0.33914,50.0,788.1,0.178
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.97501,0.00011,0.66333,-0.84826,2.42048,0.36913,,0.0,5 x 5,750.4,752.8,3700.0,1.65,1.75,275 x 101,1.65,-0.01229,0.00013,0.38164,-0.23307,-0.03922,0.32372,5.0,738.1,0.166
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.98831,8e-05,0.32977,-0.56795,2.49669,0.29128,,0.0,15 x 115,694.6,703.4,3750.0,1.85,1.95,798 x 30,1.93,-0.01453,0.0001,0.43291,-0.25112,-0.04512,0.30822,35.0,688.1,0.155
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9703,0.00014,0.75422,-0.8814,2.45809,0.33985,,0.0,5 x 5,676.3,678.2,3775.0,2.0,2.1,622 x 30,1.51,-0.0156,0.00014,0.46802,-0.26562,-0.04943,0.30115,40.0,663.1,0.149
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.96925,0.00019,0.79055,-0.89488,2.47063,0.33004,,0.0,5 x 5,651.6,653.4,3800.0,2.15,2.25,296 x 99,1.92,-0.01721,0.00011,0.50308,-0.27809,-0.05357,0.2932,25.0,638.1,0.144
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.96775,0.00015,0.8132,-0.89386,2.48428,0.31918,,0.0,5 x 5,626.5,628.7,3825.0,2.3,2.4,408 x 30,0.0,-0.01934,0.00018,0.54011,-0.29104,-0.05827,0.28574,,613.1,0.138
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.96557,0.00018,0.86802,-0.9187,2.49293,0.31127,,0.0,5 x 5,602.0,604.0,3850.0,2.5,2.6,194 x 331,2.3,-0.02081,0.00014,0.58506,-0.30806,-0.06396,0.27881,2.0,588.1,0.133
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.98023,0.00014,0.53628,-0.66839,2.55647,0.26049,3.0,605.3,15 x 115,570.9,579.7,3875.0,2.65,2.8,511 x 436,0.0,-0.02241,0.00019,0.62807,-0.32102,-0.07038,0.27087,,563.1,0.127
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.96029,0.00025,0.97373,-0.95515,2.51163,0.29412,,0.0,5 x 5,552.8,554.6,3900.0,2.9,3.0,276 x 98,2.15,-0.02464,0.00016,0.68056,-0.33851,-0.07713,0.26388,3.0,538.1,0.121
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.95904,0.00028,1.01007,-0.95728,2.523,0.28287,,0.0,5 x 5,527.8,529.9,3925.0,3.1,3.3,671 x 457,3.83,-0.02805,0.00018,0.73726,-0.3567,-0.08461,0.25572,7.0,513.1,0.116
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.95638,0.0003,1.06367,-0.98127,2.52412,0.2785,,0.0,5 x 5,513.4,515.1,3940.0,3.3,3.5,448 x 152,0.0,-0.02926,0.00026,0.78008,-0.3716,-0.09099,0.25238,,498.1,0.112
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.95472,0.00027,1.09371,-0.99118,2.52659,0.27575,,0.0,5 x 5,503.6,505.3,3950.0,3.4,3.6,706 x 584,3.1,-0.0308,0.00028,0.80432,-0.37799,-0.09443,0.2497,1.0,488.1,0.11
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9629,0.00024,0.91394,-0.85799,2.56127,0.254,,0.0,100 x 115,489.6,495.9,3960.0,3.6,3.8,322 x 464,4.45,-0.03252,0.00027,0.84217,-0.39359,-0.09905,0.24752,1.0,478.1,0.108
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.95084,0.0003,1.15916,-1.01529,2.5297,0.2698,,0.0,5 x 5,483.8,486.0,3970.0,3.7,3.9,343 x 167,5.25,-0.03338,0.00023,0.86727,-0.39972,-0.10304,0.24389,1.0,468.1,0.105
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.95087,0.00034,1.16041,-1.00953,2.53326,0.26636,,0.0,5 x 5,479.0,480.7,3975.0,3.8,4.0,439 x 334,4.55,-0.0347,0.00025,0.8856,-0.40684,-0.10551,0.24315,7.0,463.1,0.104
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.95064,0.00029,1.17522,-1.01436,2.53404,0.26437,,0.0,5 x 5,474.1,475.8,3980.0,3.8,4.0,606 x 440,3.73,-0.03435,0.00024,0.89236,-0.40524,-0.10692,0.24065,13.0,458.1,0.103
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.94859,0.00037,1.20697,-1.02377,2.53539,0.261,,0.0,5 x 5,464.3,466.0,3990.0,4.0,4.2,205 x 584,0.0,-0.03691,0.00034,0.93106,-0.41917,-0.11192,0.23825,23.0,448.1,0.101
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.947,0.00038,1.23449,-1.02943,2.53772,0.25757,250.0,544.91,5 x 5,454.3,456.3,4000.0,4.2,4.4,322 x 299,4.2,-0.03842,0.00028,0.97028,-0.432,-0.11747,0.23617,6.0,438.1,0.099
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.94575,0.00032,1.26748,-1.03811,2.53922,0.2536,,0.0,5 x 5,444.6,446.4,4010.0,4.3,4.5,380 x 326,5.3,-0.03998,0.00034,0.99636,-0.43772,-0.12166,0.23272,1.0,428.1,0.096
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.94321,0.00034,1.31482,-1.05643,2.53802,0.2512,,0.0,5 x 5,434.8,436.9,4020.0,4.5,4.7,313 x 259,5.7,-0.04152,0.00037,1.03638,-0.44921,-0.128,0.23018,23.0,418.1,0.094
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.94304,0.00035,1.30733,-1.04356,2.5428,0.2474,1.0,447.76,5 x 5,429.6,431.8,4025.0,4.7,4.9,213 x 483,4.2,-0.04374,0.00035,1.06957,-0.46274,-0.13301,0.22924,1.0,413.1,0.093
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.94168,0.00044,1.34416,-1.0611,2.53986,0.24795,,0.0,5 x 5,425.1,426.9,4030.0,4.7,4.9,305 x 250,0.0,-0.0438,0.00038,1.077,-0.46113,-0.1343,0.22708,18.0,408.1,0.092
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.93826,0.0004,1.40156,-1.08455,2.53686,0.24539,,0.0,5 x 5,415.4,417.5,4040.0,4.9,5.1,310 x 234,0.0,-0.0457,0.0004,1.11737,-0.47271,-0.14085,0.22414,,398.1,0.09
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9375,0.00046,1.41817,-1.0796,2.54061,0.23995,,0.0,5 x 5,405.1,407.8,4050.0,5.1,5.3,401 x 24,5.3,-0.04792,0.00036,1.15901,-0.48371,-0.14679,0.22107,1.0,388.1,0.087
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.93476,0.00044,1.46842,-1.09574,2.53912,0.23783,,0.0,5 x 5,395.7,397.9,4060.0,5.4,5.6,176 x 233,4.3,-0.05114,0.00043,1.21254,-0.50118,-0.15547,0.21877,1.0,378.1,0.085
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9326,0.0005,1.49039,-1.09219,2.54143,0.23245,,0.0,5 x 5,385.7,388.0,4070.0,5.6,5.8,324 x 49,7.7,-0.05285,0.00044,1.25446,-0.51106,-0.16222,0.21584,1.0,368.1,0.083
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9305,0.00052,1.52728,-1.10744,2.53842,0.23186,,0.0,5 x 5,381.1,383.2,4075.0,5.8,6.0,268 x 219,6.14,-0.05456,0.00043,1.28793,-0.52344,-0.1673,0.21526,5.0,363.1,0.082
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9289,0.00049,1.56911,-1.12536,2.53426,0.23198,,0.0,5 x 5,376.7,378.3,4080.0,6.0,6.2,261 x 24,5.4,-0.05648,0.00051,1.31992,-0.53399,-0.17283,0.21445,10.0,358.1,0.081
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.9271,0.00048,1.59367,-1.12228,2.53719,0.22666,,0.0,5 x 5,366.5,368.6,4090.0,6.2,6.4,254 x 49,5.7,-0.05865,0.00046,1.36341,-0.54331,-0.18052,0.21169,40.0,348.1,0.078
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.92237,0.0005,1.66767,-1.1509,2.53042,0.22547,2.0,0.0,5 x 5,357.3,359.0,4100.0,6.6,6.8,321 x 24,6.7,-0.06269,0.00052,1.42971,-0.56421,-0.19156,0.20873,21.0,338.1,0.076
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.91894,0.00054,1.72464,-1.16587,2.52565,0.22269,,0.0,5 x 5,347.7,349.4,4110.0,6.9,7.1,116 x 148,6.5,-0.06571,0.0005,1.48516,-0.57808,-0.20053,0.20611,17.0,328.1,0.074
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.91654,0.0006,1.76522,-1.16974,2.52547,0.21826,,0.0,5 x 5,337.7,339.8,4120.0,7.4,7.6,69 x 74,9.45,-0.06997,0.00056,1.56163,-0.60237,-0.21409,0.20508,1.0,318.1,0.072
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.92999,0.00057,1.54026,-1.02193,2.57068,0.20012,,0.0,15 x 115,327.0,335.5,4125.0,7.4,7.7,339 x 195,7.0,-0.07151,0.00063,1.58004,-0.60276,-0.21796,0.20274,37.0,313.1,0.071
