quote_unixtime,quote_readtime,quote_date,quote_time_hours,underlying_last,expire_date,expire_unix,dte,c_delta,c_gamma,c_vega,c_theta,c_rho,c_iv,c_volume,c_last,c_size,c_bid,c_ask,strike,p_bid,p_ask,p_size,p_last,p_delta,p_gamma,p_vega,p_theta,p_rho,p_iv,p_volume,strike_distance,strike_distance_pct
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,0.90946,0,0,NA,NA,0,30 x 30,750.1,753.4,3100,0.05,0.15,541 x 913,0.08,-0.00119,-3e-5,0.02361,-0.0572,-5.8e-4,0.50099,4,753.4,0.196
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,0.99218,1e-5,0.10585,-0.34615,0.65023,0.57042,NA,0,45 x 30,702.3,706.2,3150,0.05,0.1,967 x 125,0.15,-0.00111,2e-5,0.01982,-0.04411,-4e-4,0.45581,60,703.4,0.183
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,1.91441,0,0,NA,NA,0,30 x 30,650,653.9,3200,0.05,0.2,1185 x 1068,0.11,-0.00167,4e-5,0.03131,-0.06852,-0.00134,0.44229,1320,653.4,0.17
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,2.41617,0,0,NA,NA,0,44 x 30,599.8,603.8,3250,0.1,0.15,860 x 67,0.15,-0.0022,3e-5,0.03332,-0.06809,-0.00173,0.40815,50,603.4,0.157
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,2.919,0,0,NA,NA,0,30 x 30,550.4,553.8,3300,0.1,0.2,903 x 595,0.12,-0.00238,2e-5,0.04111,-0.08005,-0.0023,0.38134,565,553.4,0.144
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,3.42107,0,0,NA,NA,0,30 x 30,500.7,504,3350,0.15,0.25,300 x 987,0.17,-0.00309,1e-5,0.05514,-0.10235,-0.0027,0.35729,665,503.4,0.131
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,3.92383,0,0,NA,NA,0,30 x 30,450.5,453.7,3400,0.15,0.25,642 x 459,0.25,-0.0031,2e-5,0.06047,-0.10079,-0.00286,0.32338,1900,453.4,0.118
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,4.42612,0,0,NA,NA,0,45 x 30,400.4,404,3450,0.2,0.3,504 x 605,0.25,-0.00458,4e-5,0.0776,-0.12156,-0.00379,0.29607,179,403.4,0.105
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,4.92789,0,0,NA,1,291.44,40 x 30,350.5,354.1,3500,0.25,0.35,122 x 795,0.3,-0.00634,1.6e-4,0.0988,-0.14048,-0.00484,0.26699,1,353.4,0.092
1672866000,2023-01-04T16:00:00Z,2023-01-04,16,3853.39,2023-01-11,1673470800,7,1,0,5.1797,0,0,NA,NA,0,58 x 30,325.5,329.1,3525,0.25,0.35,723 x 425,0.25,-0.00635,1.6e-4,0.10385,-0.13867,-0.00506,0.24905,398,328.4,0.085
